CUST_ID,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS
C10094,0,0,2717.253917,14,0,6500,1502.205631
C10095,5100.07,3952.24,370.737197,1,46,9000,6409.496345
C10096,1032.04,805.14,4335.919227,21,17,4000,3056.424974
C10097,45.65,0,495.657934,1,1,1800,440.840439
C10098,405.6,0,0,0,2,2400,0
C10099,213.34,0,0,0,3,2400,0
C10100,0,0,120.612912,1,0,1200,151.823651
C10101,739.44,0,0,0,11,6000,417.128532
C10102,0,0,1713.984305,6,0,4000,0
C10103,79,79,0,0,3,7000,217.820198
C10104,0,0,89.849004,1,0,3000,138.021428
C10105,20,0,0,0,1,1500,26.487919
C10106,1346.28,1346.28,0,0,12,2000,712.149153
C10107,2823.8,1283.39,0,0,75,5700,9172.788366
C10108,389.96,389.96,0,0,31,4500,0
C10109,0,0,920.309805,1,0,4000,2236.890255
C10110,808,0,959.857263,6,4,4000,532.741699
C10111,941.64,941.64,0,0,12,2500,1097.78942
C10112,0,0,5439.467563,40,0,8000,1241.538024
C10113,423.7,246.06,412.399058,2,10,2000,577.050373
C10114,4478.75,1757.16,7205.520805,21,64,9000,10857.94321
C10115,1354.86,769.23,0,0,34,5500,858.976682
C10116,0,0,1008.348672,2,0,4200,0
C10117,2812.2,1955.08,2510.352951,8,81,8500,1509.423237
C10118,0,0,3360.228794,11,0,7000,1277.76778
C10119,1508.9,256.54,0,0,14,5000,1884.227778
C10120,1045.57,377.62,0,0,25,3000,552.432305
C10121,2309.78,2309.78,0,0,12,6500,1206.81188
C10122,0,0,576.206382,10,0,1800,687.691735
C10123,495,495,0,0,2,7000,1969.845566
C10124,0,0,509.023801,4,0,3000,932.418855
C10125,6724.26,2624.18,1686.599777,10,85,17000,1888.756861
C10126,1174.39,0,0,0,8,9000,0
C10127,5580.85,5580.85,0,0,75,8500,3564.977774
C10128,0,0,998.84867,2,0,3200,1065.426905
C10130,0,0,4614.427403,9,0,19000,3066.614272
C10131,12462.44,0,0,0,217,2800,11628.71557
C10132,0,0,272.713302,1,0,1200,385.853874
C10133,1957.3,880,0,0,19,5000,1004.35474
C10134,150.64,0,8362.154254,14,1,17000,2606.059389
C10135,0,0,2799.714934,3,0,13000,0
C10136,907,0,273.558033,1,8,5000,0
C10137,1271.12,919.58,0,0,33,5000,1906.032044
C10138,250.6,250.6,0,0,7,3000,319.762903
C10139,796.33,0,13748.47131,16,1,13000,10664.65866
C10140,440,440,0,0,22,4000,554.116542
C10141,1330.62,160.99,0,0,8,2000,1020.783647
C10142,5491.79,4101.29,0,0,52,17000,1015.311953
C10143,897.86,183.34,586.268966,3,18,1200,972.358048
C10144,22009.92,12560.85,0,0,216,18000,23018.57583
C10145,720.6,0,723.308724,1,12,2500,1061.292471
C10146,197.06,48.4,0,0,5,1000,492.200419
C10147,0,0,1307.102516,3,0,7500,1566.806897
C10148,0,0,4002.353384,9,0,7000,0
C10149,2084.48,784,0,0,13,21500,3219.621433
C10150,5779.36,2342.83,0,0,97,6500,4416.41268
C10151,1025,0,0,0,2,7500,698.854095
C10152,689.7,689.7,0,0,10,10000,746.691026
C10153,28.65,0,384.26178,1,1,9000,1235.630069
C10154,944.96,780,0,0,9,1500,1955.198953
C10155,1039.2,959.2,103.102091,1,11,13500,1855.235407
C10156,4059.93,4059.93,555.469352,7,14,7000,3685.61062
C10157,4075.37,753.09,0,0,31,6500,2254.26002
C10158,870.24,870.24,0,0,24,8000,835.839952
C10159,9792.23,5832.42,2444.445738,26,216,20000,11717.30794
C10160,2463.12,1673.59,0,0,46,4000,2573.722764
C10161,1859.34,1859.34,0,0,4,20000,3104.275623
C10162,3488.49,226.24,3303.1523,15,46,7900,0
C10163,0,0,66.275851,2,0,1800,363.474455
C10164,7283.31,2196,0,0,77,11000,14373.3929
C10165,295,0,93.579809,1,2,1200,439.407082
C10166,0,0,429.691164,5,0,3000,778.827993
C10167,0,0,988.356213,1,0,8500,1009.185035
C10168,648.22,533.22,0,0,27,1200,1110.886425
C10169,557.19,31.55,0,0,5,4000,422.711848
C10170,469.98,469.98,0,0,6,1000,367.109312
C10171,0,0,369.950794,1,0,6500,1346.365584
C10172,131.64,131.64,0,0,12,8000,2916.071564
C10173,5078.14,747.61,1424.442602,1,42,15000,4756.654374
C10174,924.6,924.6,0,0,12,1000,1202.711782
C10175,1975.4,581.9,0,0,17,4000,1795.012223
C10176,0,0,3671.777443,5,0,4000,3621.266477
C10177,10221.35,3079.97,1620.685551,18,130,10500,10693.49585
C10178,300,300,0,0,3,12500,291.948834
C10179,0,0,3905.326256,9,0,3000,1423.788603
C10180,5715,1029.46,1626.351366,3,90,14000,4639.513745
C10181,0,0,205.737165,2,0,1800,470.565984
C10182,766.61,0,1017.120578,5,12,2300,0
C10183,0,0,2040.433925,13,0,3000,2431.578544
C10184,3535.8,1921.1,0,0,44,20000,2814.231227
C10185,256.11,256.11,0,0,5,5300,831.375322
C10186,2697.48,2546.98,0,0,39,2500,1686.196344
C10187,23,23,0,0,1,5000,0
C10188,117,117,17661.49486,28,3,4500,17301.83238
C10189,196.81,23.81,0,0,3,12000,0
C10190,653.73,160.73,0,0,15,10000,441.588141
C10191,2009.05,2009.05,0,0,22,1200,2612.760497
C10192,147.78,147.78,1657.090283,4,2,6000,1186.062765
C10193,516.54,357.47,0,0,30,900,579.749308
C10194,969.56,0,446.233197,1,6,2400,0
C10196,311.45,0,955.959749,1,15,1500,277.522439
C10197,280.4,0,0,0,3,6150,254.392984
C10198,66.14,0,0,0,2,6000,0
C10199,79.2,0,1631.576375,1,1,4000,1647.880773
C10200,1453.32,1453.32,0,0,18,16500,1382.269127
C10201,756.54,0,0,0,15,4000,1110.870941
C10202,3507.35,2903.6,0,0,34,11500,1412.597253
C10203,3163.69,3106.89,0,0,36,8000,2422.911622
C10204,1343.19,260.4,0,0,33,15000,1043.55929
C10205,873,0,0,0,5,8000,541.722532
C10206,47.55,47.55,2039.52804,14,2,6000,2976.579866
C10207,370,0,0,0,2,23000,1212.054219
C10208,405.75,92,1044.651618,6,12,2000,1249.835142
C10209,261.64,261.64,0,0,10,4000,376.758504
C10211,1989.28,1146.48,893.757903,2,8,14000,4720.900413
C10212,10848.5,2640.5,0,0,123,7500,9423.715495
C10213,43.39,43.39,0,0,1,4000,130.107234
C10214,645.32,0,1665.331678,9,2,1800,2591.391006
C10215,987.1,125,5468.620604,16,9,10500,1941.541158
C10216,1464.14,485.43,3947.86784,10,23,11500,1658.563509
C10217,927,327,0,0,4,5000,1260.16384
C10218,393.62,239.9,5933.467329,24,15,10000,1919.630466
C10219,965.5,89.37,0,0,9,7500,1034.932404
C10220,0,0,102.275984,1,0,7500,4543.63481
C10221,336.41,0,0,0,9,6000,947.696134
C10222,540,540,0,0,3,4000,548.967281
C10223,36,36,0,0,2,7500,0
C10224,878.52,775.42,197.648111,1,39,1500,542.836917
C10226,144.26,77.18,0,0,7,11500,134.710832
C10227,493.85,52.5,1738.33378,16,10,2000,2795.059574
C10228,4490.69,1034.44,188.783221,1,52,8500,5763.666926
C10229,11188.62,5089.46,0,0,151,10000,11994.41815
C10230,1829.2,36.5,0,0,17,7000,971.234118
C10231,75.99,0,0,0,1,2700,69.163384
C10232,1824.16,225.6,0,0,23,14500,1508.016452
C10233,9325.22,0,0,0,5,8500,11036.72668
C10234,100,0,0,0,1,4000,125.769169
C10235,1431.89,1001.2,0,0,39,4000,2384.542045
C10236,2260.41,904.08,0,0,25,8500,2187.930651
C10237,0,0,466.643895,1,0,1200,1068.581252
C10238,10410.49,9251.65,0,0,41,19500,9695.650901
C10239,990.7,508.7,0,0,13,1400,505.317328
C10240,3034.92,3034.92,0,0,12,2900,2928.909865
C10241,1038.81,0,1092.634704,1,21,5700,1215.454299
C10242,45.65,0,0,0,1,2500,542.7463
C10243,2641.98,1255.68,263.884743,1,41,3000,1839.928884
C10244,1189.52,0,0,0,12,8000,0
C10245,300,300,2800.728343,3,6,12000,1975.974183
C10246,126.69,83.81,154.341344,1,5,10500,2515.435738
C10247,247.09,247.09,182.357669,3,7,5500,409.594792
C10248,301.1,218.1,0,0,10,1950,586.974046
C10249,1112.2,0,7616.064965,4,4,7200,0
C10250,2410.07,739.57,0,0,15,4000,3773.727455
C10251,5350.19,566.85,0,0,101,8000,5825.602115
C10252,630.03,0,0,0,1,5500,426.092563
C10253,3197.24,1117.22,0,0,49,3000,3574.480603
C10254,133,133,0,0,3,3000,130.61272
C10255,1646.16,622.74,0,0,33,12000,1055.835407
C10256,79.66,79.66,0,0,12,1500,75.896288
C10257,319.92,319.92,13439.5704,12,12,12000,10993.89211
C10258,3677.52,133.79,0,0,98,12500,2657.856602
C10259,1041.63,0,4003.968939,6,14,4000,3033.665478
C10260,675.96,675.96,0,0,12,1000,1851.602411
C10261,193.14,193.14,0,0,5,2000,220.46377
C10262,1703.23,0,0,0,13,11500,1449.039414
C10263,0,0,468.958688,2,0,6000,1350.318606
C10265,234.16,234.16,0,0,4,1500,479.910499
C10266,29.68,0,0,0,1,10000,76.943584
C10267,1322.67,225.96,774.260436,6,28,11000,802.38543
C10269,1607.88,1607.88,0,0,84,13500,1583.411686
C10270,0,0,1716.941235,5,0,1800,2166.981163
C10271,3183,0,0,0,2,9000,3823.346244
C10272,3014.23,1673.89,103.610197,1,93,4500,1350.370286
C10273,7323.38,2378.5,191.331735,1,81,3000,3792.095079
C10274,8533.54,4460.78,7540.30735,12,72,10000,4758.209146
C10275,408.93,334.13,0,0,10,9000,2161.153147
C10276,3999.92,3799.92,0,0,14,7500,5624.074339
C10277,2980.46,2322.68,0,0,50,6000,1116.967993
C10278,560.73,0,0,0,11,7500,717.798364
C10279,569.9,0,0,0,3,9500,634.000055
C10280,6186.77,87.69,1898.690655,1,38,10950,11198.92613
C10281,4550.81,1533.83,438.469118,1,99,8500,4317.191232
C10282,150.8,0,1659.19931,5,2,7500,990.524408
C10283,1385.1,380,0,0,21,14000,1280.473571
C10284,32539.78,5992.35,0,0,98,11500,26652.34432
C10285,410.24,365.53,15452.97758,13,21,16500,12005.3074
C10286,47.95,0,0,0,1,1500,294.507498
C10287,126.57,0,181.139378,1,4,2100,483.557464
C10288,380.89,0,0,0,1,5700,0
C10289,414,414,0,0,9,10500,5863.94034
C10290,2010,1380,1189.292764,1,14,8500,859.829946
C10291,4693.15,360.5,0,0,12,13500,4786.64868
C10292,498.96,498.96,72.259355,1,12,1000,829.505486
C10293,224.2,76.08,0,0,9,9500,568.336995
C10294,2856.57,1933.73,0,0,62,2500,2914.419813
C10295,0,0,682.156051,2,0,3000,2755.877257
C10296,0,0,9270.408108,16,0,7000,6010.525656
C10297,0,0,567.233798,2,0,3000,871.713321
C10298,409.63,57.76,1876.241162,4,12,5000,580.13865
C10299,843.34,0,0,0,17,6500,1024.267592
C10300,0,0,512.792701,3,0,6000,1362.966798
C10301,2236.49,1477.97,0,0,34,10000,1986.838064
C10302,464.51,65.1,2516.727082,6,10,6000,1515.594331
C10303,1779,0,0,0,2,5000,856.05828
C10304,0,0,348.834361,9,0,4000,1057.678259
C10305,456.36,456.36,0,0,14,6000,370.996177
C10306,5758.71,3506.34,0,0,48,2900,7943.57021
C10307,245.98,0,2792.67597,3,2,6000,2261.523522
C10308,0,0,3298.958165,2,0,12000,1786.142816
C10309,733.9,0,0,0,13,3000,1620.193277
C10310,1641.07,0,380.972341,1,15,500,1583.918811
C10311,674.73,0,1684.957411,8,12,4000,1139.058595
C10312,2702.47,1176.16,0,0,27,11000,7596.768364
C10313,0,0,1817.569093,4,0,8000,8019.800702
C10314,1579.15,116.8,0,0,15,2700,451.600059
C10315,0,0,8603.045938,10,0,11000,1933.413908
C10316,2161.38,1709.88,0,0,41,4500,2059.879468
C10317,1482.19,1036.12,0,0,26,6000,1289.570234
C10318,1446.05,901.6,0,0,16,3500,1364.121036
C10319,0,0,1606.322681,3,0,4500,312.433361
C10320,397.06,93.36,0,0,12,2100,0
C10321,498.17,39.15,0,0,14,15000,611.606459
C10322,2009.12,712.44,1763.794583,10,36,2500,2715.972095
C10323,5359.02,2959.24,0,0,60,6000,0
C10324,0,0,402.974164,5,0,1000,719.974244
C10325,0,0,3394.509419,3,0,5500,1151.721386
C10326,0,0,842.456926,7,0,1000,117.542764
C10327,0,0,6481.300951,4,0,7000,863.62306
C10328,126.2,0,0,0,10,1950,314.302968
C10329,225,225,0,0,12,1500,325.578502
C10330,734.97,575.97,0,0,16,6000,1159.135064
C10331,14.95,14.95,2173.356068,11,1,5700,1289.284068
C10332,874.98,524.98,4653.693195,9,16,12500,2055.100879
C10333,0,0,2443.262416,7,0,7500,1493.089193
C10334,445.2,0,0,0,4,8000,1042.991769
C10335,0,0,3264.573342,9,0,4500,476.162309
C10336,689.34,689.34,0,0,24,1500,453.842413
C10337,2006.87,1586.27,0,0,26,21000,19714.09728
C10338,678,0,927.25167,4,12,2500,1926.31853
C10339,0.05,0,1700.634586,7,1,1000,1084.281127
C10340,3085.69,52.72,0,0,21,8500,2690.525687
C10341,0,0,142.141325,2,0,3000,642.777061
C10342,1080,0,0,0,12,6000,1077.058667
C10343,2721.16,303.75,0,0,32,6500,4952.900653
C10344,3095.96,1712.4,0,0,32,14000,4003.782858
C10345,0,0,1600.758078,13,0,2300,2147.890523
C10346,71.07,71.07,3595.158425,9,3,9500,9226.751112
C10347,65,65,0,0,2,1200,718.794328
C10348,4786.61,388.97,0,0,61,9000,3805.669705
C10349,174.42,174.42,0,0,5,2500,347.08638
C10350,242.88,242.88,0,0,12,13500,6084.115091
C10351,216.94,0,1011.997944,5,3,3200,222.02316
C10352,2246.3,0,14048.07181,20,8,6000,32048.6122
C10353,361.73,0,198.686744,1,2,1500,535.606816
C10354,330,0,0,0,1,1800,345.330572
C10355,2854.11,1056.15,0,0,51,9500,2437.332725
C10356,390,300,0,0,7,2000,302.454171
C10357,422.18,0,0,0,12,5500,2961.632199
C10358,1005.52,541.02,0,0,33,3000,1866.265366
C10359,2132.93,1173.83,5340.016172,20,74,11000,8251.146946
C10360,284.72,284.72,0,0,16,5000,344.161416
C10361,0,0,455.581546,1,0,10500,1288.287239
C10362,3244.16,763.31,0,0,29,11500,5674.185857
C10364,2490.17,1585,5309.949725,11,8,9500,3957.017497
C10365,1098.31,0,0,0,1,4800,0
C10366,636.15,0,0,0,5,8500,918.414211
C10367,3018.93,1316.31,0,0,99,5000,3909.837604
C10368,1222.97,1020,0,0,16,19500,1142.077891
C10369,110.18,110.18,6551.99521,17,4,6000,1716.998424
C10370,0,0,1192.015721,1,0,3000,2298.902197
C10371,0,0,36.481832,1,0,1800,548.589391
C10372,983.77,380,0,0,15,2400,389.411161
C10373,0,0,474.429843,3,0,1500,866.865018
C10374,423.24,136.24,0,0,9,11000,296.01675
C10375,6079.5,1360,10227.22894,22,31,7300,18552.39489
C10376,439.38,0,727.658311,8,2,1200,237.996469
C10377,1207.25,1207.25,0,0,59,1200,1282.705869
C10378,259.13,0,0,0,1,2300,2680.635587
C10379,1627.69,1627.69,0,0,49,5500,2507.704747
C10380,0,0,3423.085934,10,0,8000,2845.010795
C10381,0,0,3768.696678,3,0,8000,10973.14532
C10382,5749.96,310,0,0,50,12000,5711.540654
C10383,1490.94,1490.92,2813.063846,4,25,9000,2116.662516
C10384,0,0,2333.150712,1,0,3000,0
C10385,5068.88,1539,0,0,76,4500,3904.568067
C10386,1067.28,1067.28,0,0,30,2000,2021.775795
C10387,64.12,0,0,0,2,7000,176.600545
C10388,6855.59,4092.67,0,0,39,18500,4868.088671
C10389,1631,1631,0,0,7,2500,2550.799492
C10390,180.91,0,0,0,6,1400,802.858576
C10391,0,0,172.931118,2,0,1600,353.582373
C10392,136.88,136.88,515.147607,2,2,14000,3519.008859
C10393,0,0,187.572355,1,0,2000,1177.661577
C10395,343.21,0,1609.900552,8,4,1500,930.328071
C10396,16.5,0,0,0,1,6000,57.595083
C10397,5708.18,1123.4,0,0,47,4000,5589.952268
C10398,42.3,0,3967.709973,5,1,6000,361.853722
C10399,46.67,0,0,0,1,1800,338.413344
C10400,0,0,4909.937494,4,0,9000,677.144841
C10402,699.12,699.12,0,0,24,2500,697.977603
C10403,245.39,245.39,0,0,7,4000,328.796655
C10404,98,0,0,0,2,4000,192.369983
C10405,857.36,0,0,0,13,6550,3239.629759
C10406,2747.12,1500,246.046033,1,4,5000,4730.374245
C10407,11147.33,10009.93,2728.576925,8,126,11000,7932.77402
C10408,600,600,0,0,6,1000,249.066308
C10409,0,0,2368.872642,2,0,10000,541.308981
C10410,255.12,250.12,0,0,11,8500,1703.332126
C10411,1221.53,41.53,1078.788118,7,2,1200,1421.035206
C10412,0,0,1974.503664,6,0,13000,1336.016317
C10413,780.64,580.99,1227.555485,6,22,3500,663.553502
C10414,1532.1,1309.1,0,0,14,5000,1834.368953
C10415,778.33,778.33,0,0,28,2000,1411.329676
C10416,964.06,704.06,5140.287889,24,8,6000,565.71913
C10417,1667.13,603.99,0,0,38,13000,1669.260634
C10419,0,0,4087.167822,4,0,8000,0
C10420,1088.83,570.44,0,0,6,9000,6862.520735
C10421,648.64,318.64,0,0,5,2500,0
C10422,0,0,120.178123,1,0,2100,444.783009
C10423,0,0,2171.139178,10,0,4500,4226.578611
C10424,1897.92,1800,0,0,5,13500,5563.437084
C10425,0,0,76.260896,1,0,6200,802.038512
C10426,1263.29,983.3,0,0,25,9500,1356.425369
C10427,200,200,0,0,2,1200,0
C10428,340,0,3510.115735,8,1,6000,2162.141639
C10429,1277.58,1277.58,0,0,20,7000,552.734714
C10430,4117.24,3827.24,0,0,229,6000,4561.589382
C10431,226.23,0,0,0,5,15000,1885.239981
C10432,3970.8,1703.8,0,0,64,7500,3879.252512
C10433,1346.9,318.9,0,0,14,8000,1369.437449
C10434,1050.83,982.93,4083.515108,4,24,5000,4673.520993
C10435,1364.99,1300,284.754535,2,7,2000,1849.10398
C10436,0,0,114.918715,3,0,1500,331.670616
C10437,0,0,3017.170336,4,0,4500,0
C10438,7553.48,4909.95,0,0,85,13500,5377.338091
C10439,570.16,570.16,2817.05225,7,20,9000,6124.31525
C10441,566.28,135.27,3888.756412,2,17,4000,1298.823687
C10442,0,0,2819.60583,3,0,8000,422.878799
C10443,0,0,39.646806,2,0,1800,357.836436
C10444,137.34,0,4815.112874,16,1,10000,1874.954894
C10445,0,0,5105.254316,14,0,10000,2052.533488
C10446,0,0,3435.737817,1,0,9000,6918.272206
C10447,332.82,332.82,6649.712062,24,25,5000,5810.994681
C10448,1377.72,0,0,0,5,2500,182.177646
C10449,0,0,1886.470361,2,0,6000,2996.735376
C10450,0,0,1462.32354,2,0,1500,2008.971745
C10451,360.7,0,6517.541812,15,2,8000,5147.693822
C10452,222.64,222.64,249.298208,3,11,4500,1017.241855
C10453,1634.74,258.74,94.837161,1,38,13000,1094.345336
C10454,0,0,340.249539,1,0,1200,591.853821
C10455,759.15,0,2493.111705,6,12,6000,994.500495
C10456,243.36,0,0,0,2,1800,546.417272
C10457,0,0,10713.8746,14,0,10500,7566.577763
C10458,0,0,2820.528417,3,0,2500,1370.235544
C10459,519,519,0,0,9,4500,621.255763
C10460,3055.87,0,0,0,26,4500,2198.293667
C10461,2470.4,2012.67,1652.878895,1,19,9500,3340.041274
C10462,1671.6,1191.6,0,0,48,1800,1021.907217
C10463,903.36,0,0,0,6,15000,538.841222
C10466,0,0,193.738137,1,0,1200,274.653536
C10467,229.5,175.5,0,0,7,3150,423.206638
C10468,1476.19,0,0,0,23,2500,1493.919986
C10469,2506.89,0,0,0,30,8500,1230.219396
C10470,2570,2077.54,124.563782,2,40,4500,3259.958288
C10471,238.34,238.34,4809.11955,8,5,15000,1194.510762
C10472,1342.36,304.4,1738.109478,2,27,4000,288.883026
C10473,786.32,600,0,0,7,7500,881.284581
C10474,1450.68,1450.68,0,0,20,6000,1583.421932
C10475,1239.46,487.18,0,0,14,1500,401.217047
C10476,96.75,62.1,19.141227,1,7,1800,452.225512
C10477,4106.15,1417.69,734.816479,1,50,12000,9678.173119
C10478,2022.38,130,0,0,19,6000,939.306791
C10480,3654.08,3362.67,0,0,32,2500,3301.334578
C10481,883.73,426.11,0,0,26,3000,632.062443
C10482,795.54,628.14,418.482499,1,20,1700,1804.065076
C10483,0,0,278.591282,1,0,1200,541.101815
C10484,0,0,2806.959645,18,0,7500,1088.755323
C10485,1382.57,304.82,0,0,33,2400,1580.0815
C10486,565.5,565.5,101.137379,1,14,8500,2768.795805
C10487,4462.86,1646.4,4599.625146,11,103,11800,1793.043228
C10488,1726.67,0,0,0,4,6000,4804.383296
C10489,217,0,12377.36037,16,2,9000,10428.37611
C10490,0,0,1483.933054,8,0,4000,1067.405461
C10491,1748.73,1230.29,0,0,31,6500,2497.488126
C10492,0,0,149.36039,1,0,1800,586.426259
C10493,50.98,50.98,0,0,4,1200,320.592941
C10494,378.04,378.04,0,0,4,11300,4315.936534
C10495,1483.12,397.93,1992.715742,3,30,5000,1357.36111
C10497,6407.67,2682.34,0,0,44,14500,3484.429075
C10498,0,0,1161.103112,2,0,3500,547.23924
C10501,70,0,0,0,1,8500,566.292758
C10502,449.96,449.96,0,0,8,7000,1023.209164
C10503,3355.33,1050,0,0,27,6500,2087.871747
C10504,0,0,14371.78789,3,0,10000,14481.46544
C10505,0,0,818.124484,12,0,3000,142.286073
C10506,3220.09,278.7,0,0,24,15000,826.764555
C10507,6558.55,0,0,0,74,7000,5872.707939
C10508,0,0,1328.643945,11,0,4000,1006.358943
C10509,4305.05,1399.34,0,0,38,9500,4030.061017
C10510,262.1,0,3053.777459,13,5,13000,1629.239381
C10511,1626.83,797.98,0,0,17,13000,1924.101393
C10512,3522.57,2040.57,2485.845274,6,25,6000,1165.621928
C10513,0,0,2438.356719,9,0,18000,2662.365409
C10514,8194.05,913.78,0,0,121,6000,7069.804042
C10515,1604.8,77.5,1302.014616,2,11,4500,191.366024
C10516,709.9,100,779.264494,2,16,7000,826.576112
C10517,174,0,3269.418821,21,3,14000,3251.190662
C10518,0,0,554.11523,3,0,4500,552.713988
C10519,0,0,655.037683,16,0,1700,1076.722225
C10520,913,913,0,0,5,7500,1718.487894
C10521,606.62,7.67,0,0,14,2750,1043.617154
C10522,1447.01,1140.7,49.912813,1,19,2400,642.723723
C10523,41050.4,426.34,0,0,157,17000,36066.75068
C10524,727.27,0,0,0,11,20000,822.928249
C10525,1869.88,1054.77,0,0,30,4000,999.235386
C10526,182.94,182.94,0,0,10,5000,1391.649702
C10527,379.28,379.28,0,0,7,2500,641.943628
C10528,874.94,874.94,0,0,18,1500,716.241063
C10529,26402.39,4145,0,0,114,16500,24529.27662
C10530,0,0,281.044645,3,0,3000,677.649435
C10532,1752.15,187.99,1072.351863,4,53,10300,1489.597574
C10533,400.41,489.39,0,0,11,4500,353.570259
